,MovieRating,DirectorRating,MovieTitle,startYear,class,scaledVotes,decade,Directors
143,7.2,7.4,"20,000 Leagues Under the Sea",1954,Movie Rating < Director Rating,2.577013617609196,1950,Richard Fleischer
144,7.0,6.7,The Big Sky,1952,Movie Rating > Director Rating,1.2092904894067398,1950,Howard Hawks
145,7.6,6.6999999999999975,Herz ohne Gnade,1958,Movie Rating > Director Rating,1.0011953247058536,1950,Viktor Tourjansky
146,5.9,5.366666666666667,Accadde al commissariato,1954,Movie Rating > Director Rating,1.0076609447056983,1950,Giorgio Simonelli
147,4.4,5.5,Las manzanas de Dorotea,1957,Movie Rating < Director Rating,1.0002716647058758,1950,Raúl de Anda
148,4.8,5.6999999999999975,Spy in the Sky!,1958,Movie Rating < Director Rating,1.00168432117643,1950,W. Lee Wilder
149,6.6,5.5,Una mujer decente,1950,Movie Rating > Director Rating,1.0009236599999778,1950,Raúl de Anda
150,5.5,5.05,Der letzte Schuß,1951,Movie Rating > Director Rating,1.0008149941176274,1950,Franz Seitz
151,6.9,6.85,The Truth About Bebe Donge,1952,Movie Rating > Director Rating,1.0281987964699109,1950,Henri Decoin
152,7.1,6.616666666666667,Lo que le pasó a Sansón,1955,Movie Rating > Director Rating,1.0030426447058094,1950,Gilberto Martínez Solares
153,7.3,6.35,Camino del infierno,1951,Movie Rating > Director Rating,1.0014126564705543,1950,Miguel Morayta
154,6.3,6.1999999999999975,Totò cerca pace,1954,Movie Rating > Director Rating,1.004889964705765,1950,Mario Mattoli
155,5.8,5.966666666666666,Return of the Fly,1959,Movie Rating < Director Rating,1.2290676799945002,1950,Edward Bernds
156,6.6,5.85,River of No Return,1954,Movie Rating > Director Rating,1.5644649258688004,1950,Otto Preminger
157,6.2,5.966666666666666,The Bowery Boys Meet the Monsters,1954,Movie Rating > Director Rating,1.032382432940399,1950,Edward Bernds
158,6.0,5.95,The Prize,1950,Movie Rating > Director Rating,1.0033686423528605,1950,Jean Boyer
159,7.0,5.766666666666668,Footsteps in the Fog,1955,Movie Rating > Director Rating,1.0898666847037246,1950,Arthur Lubin
160,5.2,5.95,Tread Softly,1952,Movie Rating < Director Rating,1.004237969411663,1950,David MacDonald
161,6.6,6.6,Intent to Kill,1958,Movie Rating = Director Rating,1.013420236470266,1950,Jack Cardiff
162,7.0,6.75,The Tenant,1958,Movie Rating > Director Rating,1.0051616294116408,1950,José Antonio Nieves Conde
163,6.2,6.1,Hiawatha,1952,Movie Rating > Director Rating,1.003640307058736,1950,Kurt Neumann
164,6.9,6.75,Sword for Hire,1952,Movie Rating > Director Rating,1.005596292941042,1950,Hiroshi Inagaki
165,5.9,5.6,Sønnen fra Amerika,1957,Movie Rating > Director Rating,1.0065742858821949,1950,Jon Iversen
166,6.6,5.98,Una señora movida,1959,Movie Rating > Director Rating,1.0005433294117516,1950,René Cardona
167,7.9,6.85,Strangers on a Train,1951,Movie Rating > Director Rating,7.650080335134453,1950,Alfred Hitchcock
168,6.7,5.0,As the Sea Rages,1959,Movie Rating > Director Rating,1.0009779929411529,1950,Horst Hächler
169,7.4,7.8,The Roof,1956,Movie Rating < Director Rating,1.0314587729404212,1950,Vittorio De Sica
170,6.4,6.0500000000000025,Erkel,1952,Movie Rating > Director Rating,1.0011953247058536,1950,Márton Keleti
171,6.9,7.0500000000000025,El gendarme de la esquina,1951,Movie Rating < Director Rating,1.0005433294117516,1950,Joaquín Pardavé
172,5.6,5.366666666666667,Noi siamo due evasi,1959,Movie Rating > Director Rating,1.0008693270588027,1950,Giorgio Simonelli
173,8.4,6.9,The Naked and the Wicked,1951,Movie Rating > Director Rating,1.0013583235293793,1950,Guido Brignone
174,5.7,5.8000000000000025,The Floating Dutchman,1952,Movie Rating < Director Rating,1.0040749705881375,1950,Vernon Sewell
175,6.6,6.75,The Three Treasures,1959,Movie Rating < Director Rating,1.0125509094114633,1950,Hiroshi Inagaki
176,6.6,6.75,Fiesta en el corazón,1958,Movie Rating < Director Rating,1.0003803305882262,1950,Jaime Salvador
177,5.5,6.1,Love... In Instalments,1959,Movie Rating < Director Rating,1.000651995294102,1950,Stelios Tatasopoulos
178,6.6,6.8,El crimen de Oribe,1950,Movie Rating < Director Rating,1.0027166470587583,1950,Leopoldo Torre Nilsson
179,4.6,5.633333333333333,Kein Mann zum Heiraten,1959,Movie Rating < Director Rating,1.0012496576470291,1950,Hans Deppe
180,6.3,7.0,Marie of the Isles,1959,Movie Rating < Director Rating,1.0009779929411529,1950,Georges Combret
181,5.8,5.9499999999999975,7th Cavalry,1956,Movie Rating < Director Rating,1.0561802611751216,1950,Joseph H. Lewis
182,5.7,6.5,The Time of His Life,1955,Movie Rating < Director Rating,1.0033143094116852,1950,Leslie S. Hiscott
183,7.2,6.75,Woman in a Dressing Gown,1957,Movie Rating > Director Rating,1.023580496470022,1950,J. Lee Thompson
184,6.4,6.0500000000000025,Apache,1954,Movie Rating > Director Rating,1.2140717882301544,1950,Robert Aldrich
185,7.0,6.4,Tammy and the Bachelor,1957,Movie Rating > Director Rating,1.1177394835265848,1950,Joseph Pevney
186,7.5,7.7,Seema,1955,Movie Rating < Director Rating,1.0053246282351662,1950,Amiya Chakrabarty
187,6.3,6.174999999999999,The Big Land,1957,Movie Rating > Director Rating,1.024884487058226,1950,Gordon Douglas
188,5.8,5.3,Open Sea,1954,Movie Rating > Director Rating,1.0008149941176274,1950,Tasos Meletopoulos
189,5.7,5.7,Kiss of Fire,1955,Movie Rating = Director Rating,1.006248288235144,1950,Joseph M. Newman
190,5.1,5.98,Las tres pelonas,1958,Movie Rating < Director Rating,1.0003803305882262,1950,René Cardona
191,7.5,6.616666666666667,The Count of Monte Cristo,1954,Movie Rating > Director Rating,1.0031513105881595,1950,Gilberto Martínez Solares
192,7.2,6.9,Three Came Out of the Woods,1958,Movie Rating > Director Rating,1.0013583235293793,1950,Konstantin Voinov
193,6.4,6.5,The Ringer,1952,Movie Rating < Director Rating,1.0099972611762305,1950,Guy Hamilton
194,6.6,6.85,La dama del mar,1954,Movie Rating < Director Rating,1.0003803305882262,1950,Mario Soffici
195,5.6,5.666666666666668,The Big Fisherman,1959,Movie Rating < Director Rating,1.0187991976466075,1950,Frank Borzage
196,7.1,5.85,Mr. Photographer,1953,Movie Rating > Director Rating,1.0142895635290687,1950,Miguel M. Delgado
197,6.3,6.75,Murder Without Crime,1950,Movie Rating < Director Rating,1.0095082647056541,1950,J. Lee Thompson
198,7.1,6.166666666666668,House of Wax,1953,Movie Rating > Director Rating,1.876988003508356,1950,André De Toth
199,6.4,6.166666666666668,Last of the Comanches,1953,Movie Rating > Director Rating,1.0352077458815077,1950,André De Toth
200,4.9,5.8000000000000025,Cattle Queen,1951,Movie Rating < Director Rating,1.0013039905882042,1950,Robert Emmett Tansey
201,5.4,6.35,"Ella, Lucifer y yo",1953,Movie Rating < Director Rating,1.0008693270588027,1950,Miguel Morayta
202,7.7,7.0,The Drunkard,1953,Movie Rating > Director Rating,1.0004889964705763,1950,Georges Combret
203,6.2,6.95,Count the Hours!,1953,Movie Rating < Director Rating,1.0247758211758755,1950,Don Siegel
204,6.1,6.174999999999999,Mara Maru,1952,Movie Rating < Director Rating,1.0229828341170952,1950,Gordon Douglas
205,5.9,6.2,Passage Home,1955,Movie Rating < Director Rating,1.008475938823326,1950,Roy Ward Baker
206,4.6,5.366666666666667,Love and Poison,1950,Movie Rating < Director Rating,1.0002716647058758,1950,Giorgio Simonelli
207,5.9,6.2,War Arrow,1953,Movie Rating < Director Rating,1.0381960576461418,1950,George Sherman
208,5.7,6.0500000000000025,Yesterday,1959,Movie Rating < Director Rating,1.0007606611764523,1950,Márton Keleti
209,7.9,7.7,Patita,1953,Movie Rating > Director Rating,1.0031513105881595,1950,Amiya Chakrabarty
210,5.9,5.95,La Madelon,1955,Movie Rating < Director Rating,1.0014669894117294,1950,Jean Boyer
211,6.1,6.333333333333332,Kadin severse,1955,Movie Rating < Director Rating,1.000651995294102,1950,Atif Yilmaz
212,6.2,6.15,The Girl of the Neighbourhood,1954,Movie Rating > Director Rating,1.0009236599999778,1950,Maria Plyta
213,6.3,5.85,Los chiflados del rock and roll,1957,Movie Rating > Director Rating,1.0007606611764523,1950,José Díaz Morales
214,6.6,6.5,Stowaway Girl,1957,Movie Rating > Director Rating,1.0050529635292904,1950,Guy Hamilton
215,4.9,5.300000000000002,Thunder Over Arizona,1956,Movie Rating < Director Rating,1.0064112870586697,1950,Joseph Kane
216,8.3,7.3000000000000025,Ordet,1955,Movie Rating > Director Rating,1.7527285670407509,1950,Carl Theodor Dreyer
217,6.3,6.6,Hamrahi,1963,Movie Rating < Director Rating,1.0015213223529047,1960,T. Prakash Rao
218,6.6,5.1,Yngsjömordet,1966,Movie Rating > Director Rating,1.006900283529246,1960,Arne Mattsson
219,5.8,6.466666666666666,40 Guns to Apache Pass,1967,Movie Rating < Director Rating,1.0457483364694895,1960,William Witney
220,6.9,6.6,Kenjû burai-chô: Nukiuchi no Ryû,1960,Movie Rating > Director Rating,1.0010323258823282,1960,Hiroshi Noguchi
221,6.9,6.2,The War Wagon,1967,Movie Rating > Director Rating,1.4715555964592664,1960,Burt Kennedy
222,6.8,5.75,Das Mädchen und der Staatsanwalt,1962,Movie Rating > Director Rating,1.0014669894117294,1960,Jürgen Goslar
223,5.2,5.35,A Thousand Pleasures,1968,Movie Rating < Director Rating,1.007171948235122,1960,Michael Findlay
224,5.9,5.933333333333334,Aci günler,1967,Movie Rating < Director Rating,1.0007606611764523,1960,Ertem Göreç
225,4.6,5.4499999999999975,Glorious Times in the Spessart,1967,Movie Rating < Director Rating,1.0090192682350776,1960,Kurt Hoffmann
226,7.8,7.5,The Hour of the Furnaces,1968,Movie Rating > Director Rating,1.0506383011752547,1960,Fernando E. Solanas
227,5.4,5.433333333333334,Journey Beneath the Desert,1961,Movie Rating < Director Rating,1.0059766235292682,1960,Edgar G. Ulmer/Frank Borzage
228,7.1,6.75,Devil's Temple,1969,Movie Rating > Director Rating,1.0066829517645457,1960,Kenji Misumi
229,5.9,5.85,Young Fury,1964,Movie Rating > Director Rating,1.0077696105880487,1960,Christian Nyby
230,6.9,6.066666666666666,Fortuna,1966,Movie Rating > Director Rating,1.0003803305882262,1960,Menahem Golan
231,6.6,5.433333333333334,La hora incógnita,1964,Movie Rating > Director Rating,1.0053789611763415,1960,Mariano Ozores
232,6.3,5.3,Kartallarin öcü: Severek ölenler..,1965,Movie Rating > Director Rating,1.0004889964705763,1960,Osman F. Seden
233,4.3,5.05,Kertokaa se hänelle...,1961,Movie Rating < Director Rating,1.0017929870587805,1960,Åke Lindman
234,6.0,5.75,The Flying Saucer,1964,Movie Rating > Director Rating,1.0119532470585366,1960,Tinto Brass
235,6.3,4.95,The Unnaturals,1969,Movie Rating > Director Rating,1.0102145929409312,1960,Antonio Margheriti
236,6.6,7.1999999999999975,Uso,1963,Movie Rating < Director Rating,1.0004346635294012,1960,Yasuzô Masumura
237,7.0,6.2,The Fiercest Heart,1961,Movie Rating > Director Rating,1.0027166470587583,1960,George Sherman
