,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,genres1
8081,tt0113211,movie,The Grass Harp,The Grass Harp,0,1995,107,"Comedy,Drama",7.0,2971,Comedy
8091,tt0019511,movie,Ungarische Rhapsodie,Ungarische Rhapsodie,0,1928,97,Drama,7.0,33,Drama
8093,tt6864870,movie,200 Miles,200 Miles,0,2017,50,Drama,7.1,10,Drama
8099,tt0265198,movie,Gangland,Gangland,0,2001,90,"Action,Sci-Fi",2.8,539,Action
8101,tt1385869,movie,The Cross,The Cross,0,2009,90,Documentary,5.7,162,Documentary
8103,tt0072107,movie,S*P*Y*S,S*P*Y*S,0,1974,87,"Action,Comedy",4.6,840,Action
8104,tt0318385,movie,Heer Ranjha,Heer Ranjha,0,1970,140,"Musical,Romance",6.6,55,Musical
8105,tt0194227,movie,Body Gulch,Body Gulch,0,1997,65,Horror,7.3,27,Horror
8106,tt1252491,movie,Julia Robinson and Hilbert's Tenth Problem,Julia Robinson and Hilbert's Tenth Problem,0,2008,55,Documentary,7.9,9,Documentary
8108,tt0313962,movie,Derzost,Derzost,0,1973,100,Action,5.5,20,Action
8109,tt0114626,movie,Tato,Tato,0,1995,110,Drama,7.2,1367,Drama
8110,tt1826894,movie,The Eyes of Thailand,The Eyes of Thailand,0,2012,62,Documentary,7.5,32,Documentary
8112,tt7822320,movie,Ek Je Chhilo Raja,Ek Je Chhilo Raja,0,2018,147,Drama,7.2,912,Drama
8118,tt0111431,movie,Till the End of the Night,Till the End of the Night,0,1995,90,Drama,3.7,113,Drama
8122,tt8404272,movie,How Long Will I Love U,Chao shi kong tong ju,0,2018,101,"Comedy,Fantasy,Romance",6.4,851,Comedy
8127,tt0248321,movie,Poslední mohykán,Poslední mohykán,0,1947,89,Comedy,7.4,69,Comedy
8128,tt0082893,movie,The Skin,La pelle,0,1981,131,"Drama,War",6.8,915,Drama
8129,tt7619812,movie,Moondravathu Kann,Moondravathu Kann,0,1993,140,Thriller,6.9,7,Thriller
8135,tt2668860,movie,Chand Ke Paar Chalo,Chand Ke Paar Chalo,0,2006,169,Romance,6.8,28,Romance
8136,tt6723840,movie,Appalachian Journey,Appalachian Journey,0,1991,56,Documentary,8.3,7,Documentary
8141,tt6738310,movie,The Sensitives,The Sensitives,0,2017,83,Documentary,6.6,47,Documentary
8142,tt7618604,movie,Patrick,De Patrick,0,2019,97,"Comedy,Drama,Mystery",6.9,1095,Comedy
8143,tt0040730,movie,The Return of October,The Return of October,0,1948,98,"Comedy,Drama",6.1,173,Comedy
8145,tt0093106,movie,The Good Wife,The Umbrella Woman,0,1987,98,"Drama,Romance",5.8,488,Drama
8146,tt3755914,movie,Bohemia,Bohemia,0,2014,102,Drama,4.1,8,Drama
8149,tt0257034,movie,Love Inventory,Reshimat Ahava,0,2000,90,Documentary,7.9,30,Documentary
8151,tt2224167,movie,The Goods,El-Maslaha,0,2012,115,"Action,Crime,Drama",7.0,1969,Action
8156,tt3445484,movie,O Último Cine Drive-in,O Último Cine Drive-in,0,2015,100,"Comedy,Drama,Family",6.9,246,Comedy
8158,tt0360091,movie,Trucker Yaro IX: A 5000 Km Run,Torakku yarô: Neppû 5000 kiro,0,1979,106,"Action,Adventure,Comedy",6.9,10,Action
8160,tt2386291,movie,Deadly Revisions,Deadly Revisions,0,2013,95,"Horror,Mystery,Thriller",4.4,143,Horror
8161,tt1820369,movie,A Friend of Mine,Üks mu sõber,0,2011,102,Drama,6.9,61,Drama
8163,tt0780656,movie,Year,Year,0,2006,102,Drama,7.2,13,Drama
8164,tt3726018,movie,Hrudaya Kaleyam,Hrudaya Kaleyam,0,2014,114,Comedy,5.7,337,Comedy
8165,tt0116725,movie,Juloratoriet,Juloratoriet,0,1996,124,Drama,5.9,374,Drama
8166,tt2247109,movie,Verraaiers,Verraaiers,0,2012,122,"Drama,War",7.1,164,Drama
8170,tt6159026,movie,Gatao,Gatao,0,2015,105,"Action,Crime",5.0,144,Action
8171,tt2262126,movie,Kalakalappu,Kalakalappu,0,2012,135,Comedy,6.9,1060,Comedy
8174,tt0074253,movie,Budapesti mesék,Budapesti mesék,0,1977,90,Drama,6.7,205,Drama
8175,tt12246550,movie,Conversations with Intellectuals About Selena,Conversations with Intellectuals About Selena,0,1999,58,Documentary,5.3,6,Documentary
8186,tt0194094,movie,Lan yi,Lan yi,0,1967,103,"Drama,Romance",6.6,9,Drama
8188,tt2119465,movie,Little Criminals,Little Criminals,0,2001,64,Documentary,8.0,11,Documentary
8191,tt2219554,movie,Megalomania,Megalomania,0,2012,66,"Drama,Fantasy,Horror",7.3,12,Drama
8192,tt2294567,movie,Dhammu,Dhammu,0,2012,155,"Action,Drama",5.1,1853,Action
8195,tt0055350,movie,"Qui êtes-vous, Monsieur Sorge?","Qui êtes-vous, Monsieur Sorge?",0,1961,129,Drama,6.7,73,Drama
8198,tt10060386,movie,Hellcat's Revenge II: Deadman's Hand,Hellcat's Revenge II: Deadman's Hand,0,2019,82,"Action,Thriller",4.8,29,Action
8199,tt11473096,movie,Buurman & Buurman Experimenteren er op los!,Buurman & Buurman Experimenteren er op los!,0,2019,57,Animation,6.1,20,Animation
8204,tt9193602,movie,Chudo v Krymu,Chudo v Krymu,0,2015,90,"Comedy,Romance",1.9,13,Comedy
8205,tt1344811,movie,Brothers on the Line,Brothers on the Line,0,2012,81,Documentary,7.9,61,Documentary
8206,tt3033116,movie,Priezzhayte na Baykal,Priezzhayte na Baykal,0,1966,69,"Comedy,Musical",5.3,7,Comedy
8208,tt0179667,movie,El barchante Neguib,El barchante Neguib,0,1946,90,"Comedy,Drama",7.2,36,Comedy
8210,tt2002606,movie,The Ant's Scream,Ant Scream,0,2011,120,Drama,6.3,238,Drama
8215,tt4654908,movie,Sirens and Screams,Sirens and Screams,0,2015,80,"Crime,Drama,Mystery",7.9,39,Crime
8229,tt1756479,movie,The Color Out of Space,Die Farbe,0,2010,86,"Drama,Horror,Mystery",6.4,1331,Drama
8230,tt6117158,movie,Idolle Ramayana,Idolle Ramayana,0,2016,111,Drama,6.8,121,Drama
8232,tt8534294,movie,Gabriel,Gabriel,0,2018,93,Drama,6.4,84,Drama
8239,tt4526546,movie,Edge of Winter,Edge of Winter,0,2016,89,"Drama,Thriller",5.4,3616,Drama
8244,tt3526098,movie,Headfirst,Päin seinää,0,2014,93,"Comedy,Drama",5.9,577,Comedy
8247,tt0027757,movie,Hollywood Boulevard,Hollywood Boulevard,0,1936,75,Drama,6.7,75,Drama
